日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-11-14,601127,143.98,140.31,149.48,139.01,781607,11220793151.0,7.25,-2.85,-4.12,5.18
2024-11-15,601127,138.6,131.5,140.65,130.71,798258,10792552409.0,7.08,-6.28,-8.81,5.29
2024-11-18,601127,131.09,124.75,132.0,122.53,767665,9741612462.0,7.2,-5.13,-6.75,5.08
2024-11-19,601127,124.99,129.39,129.55,122.68,621507,7827075006.0,5.51,3.72,4.64,4.12
2024-11-20,601127,127.1,129.72,131.33,127.01,428885,5538804783.0,3.34,0.26,0.33,2.84
2024-11-21,601127,128.79,129.15,131.58,127.62,347046,4492914131.0,3.05,-0.44,-0.57,2.3
2024-11-22,601127,130.35,123.99,130.35,123.68,372253,4712419971.0,5.16,-4.0,-5.16,2.47
2024-11-25,601127,122.55,121.35,123.79,118.43,425958,5149743926.0,4.32,-2.13,-2.64,2.82
2024-11-26,601127,121.0,120.61,123.95,120.0,269215,3273401047.0,3.26,-0.61,-0.74,1.78
2024-11-27,601127,122.0,123.89,124.48,119.34,454812,5570912675.0,4.26,2.72,3.28,3.01
2024-11-28,601127,124.2,119.21,124.39,118.76,386946,4714620295.0,4.54,-3.78,-4.68,2.56
2024-11-29,601127,119.21,121.59,123.9,116.75,514265,6170530616.0,6.0,2.0,2.38,3.41
2024-12-02,601127,126.0,133.75,133.75,125.74,462469,6011340374.0,6.59,10.0,12.16,3.06
2024-12-03,601127,140.0,135.7,140.0,135.28,745344,10235979679.0,3.53,1.46,1.95,4.94
2024-12-04,601127,134.16,136.8,139.91,133.68,492036,6722188259.0,4.59,0.81,1.1,3.26
2024-12-05,601127,137.0,139.98,141.5,136.01,431436,6007184082.0,4.01,2.32,3.18,2.86
2024-12-06,601127,139.88,138.39,140.86,137.6,356546,4957665608.0,2.33,-1.14,-1.59,2.36
2024-12-09,601127,139.31,144.75,145.0,139.1,535098,7642835423.0,4.26,4.6,6.36,3.54
2024-12-10,601127,149.0,134.5,149.89,133.0,1014316,14309938456.0,11.67,-7.08,-10.25,6.72
2024-12-11,601127,131.5,133.72,134.48,129.28,569239,7515804014.0,3.87,-0.58,-0.78,3.77
2024-12-12,601127,132.86,136.91,137.42,132.5,450974,6128000262.0,3.68,2.39,3.19,2.99
2024-12-13,601127,136.0,130.16,137.2,130.0,830286,11043792381.0,5.26,-4.93,-6.75,5.5
2024-12-16,601127,128.1,130.7,131.8,126.28,392210,5080628410.0,4.24,0.41,0.54,2.6
2024-12-17,601127,131.0,130.21,131.89,128.71,234902,3059538721.0,2.43,-0.37,-0.49,1.56
2024-12-18,601127,131.0,129.76,131.5,128.88,213208,2772989601.0,2.01,-0.35,-0.45,1.41
2024-12-19,601127,128.0,130.8,131.5,127.51,216532,2823510215.0,3.07,0.8,1.04,1.43
2024-12-20,601127,129.7,131.1,131.8,128.68,235471,3072337436.0,2.39,0.23,0.3,1.56
2024-12-23,601127,131.23,130.68,134.8,130.0,237423,3134151343.0,3.66,-0.32,-0.42,1.57
2024-12-24,601127,130.9,131.34,131.52,128.1,224674,2924366414.0,2.62,0.51,0.66,1.49
2024-12-25,601127,131.34,129.28,131.93,129.0,181915,2367993825.0,2.23,-1.57,-2.06,1.2
2024-12-26,601127,130.0,136.0,136.4,129.36,477575,6413181621.0,5.45,5.2,6.72,3.16
2024-12-27,601127,134.88,135.08,136.0,133.4,287710,3873235835.0,1.91,-0.68,-0.92,1.91
2024-12-30,601127,136.6,134.8,137.78,134.33,200059,2709847079.0,2.55,-0.21,-0.28,1.33
2024-12-31,601127,135.32,133.39,136.39,131.4,264686,3544296643.0,3.7,-1.05,-1.41,1.75
2025-01-02,601127,131.66,128.54,131.95,127.77,311939,4042933703.0,3.13,-3.64,-4.85,2.07
2025-01-03,601127,128.88,124.98,129.16,124.85,272432,3448949907.0,3.35,-2.77,-3.56,1.8
2025-01-06,601127,125.13,124.0,126.95,121.26,259162,3222245715.0,4.55,-0.78,-0.98,1.72
2025-01-07,601127,124.28,129.26,129.48,123.21,301873,3821949644.0,5.06,4.24,5.26,2.0
2025-01-08,601127,128.44,127.78,128.8,124.28,254427,3224048217.0,3.5,-1.14,-1.48,1.69
2025-01-09,601127,126.57,128.96,129.87,126.55,210618,2708094573.0,2.6,0.92,1.18,1.4
2025-01-10,601127,128.14,128.17,132.32,127.83,283848,3686239755.0,3.48,-0.61,-0.79,1.88
2025-01-13,601127,130.74,132.0,135.0,130.01,342402,4536420714.0,3.89,2.99,3.83,2.27
2025-01-14,601127,131.21,138.71,139.0,130.7,491443,6701713042.0,6.29,5.08,6.71,3.26
2025-01-15,601127,138.0,137.8,139.82,136.16,310981,4274380583.0,2.64,-0.66,-0.91,2.06
2025-01-16,601127,137.89,135.39,139.68,134.67,298467,4088001741.0,3.64,-1.75,-2.41,1.98
2025-01-17,601127,134.52,135.07,136.13,133.31,203165,2737173131.0,2.08,-0.24,-0.32,1.35
2025-01-20,601127,137.0,136.66,138.52,136.0,237051,3251529540.0,1.87,1.18,1.59,1.57
2025-01-21,601127,137.01,138.91,139.49,135.42,292669,4028316167.0,2.98,1.65,2.25,1.94
2025-01-22,601127,135.0,131.9,135.88,131.01,485679,6459729801.0,3.51,-5.05,-7.01,3.22
2025-01-23,601127,133.05,131.7,134.98,131.47,244240,3251102026.0,2.66,-0.15,-0.2,1.62
2025-01-24,601127,130.2,132.8,132.98,130.11,211688,2786763219.0,2.18,0.84,1.1,1.4
2025-01-27,601127,133.0,132.79,135.44,131.01,226160,3006594293.0,3.34,-0.01,-0.01,1.5
2025-02-05,601127,128.4,127.5,128.49,126.0,292670,3726418964.0,1.88,-3.98,-5.29,1.94
2025-02-06,601127,126.65,130.99,131.29,125.09,349331,4483384114.0,4.86,2.74,3.49,2.31
2025-02-07,601127,130.7,132.64,134.0,129.82,367310,4848545002.0,3.19,1.26,1.65,2.43
2025-02-10,601127,132.05,132.77,134.59,131.25,290026,3842317200.0,2.52,0.1,0.13,1.92
2025-02-11,601127,130.89,125.2,132.5,125.0,534300,6790497296.0,5.65,-5.7,-7.57,3.54
2025-02-12,601127,121.0,123.66,124.56,120.1,398307,4871372965.0,3.56,-1.23,-1.54,2.64
2025-02-13,601127,123.6,120.03,124.23,120.0,391274,4758022643.0,3.42,-2.94,-3.63,2.59
2025-02-14,601127,119.9,122.17,123.5,119.23,308807,3770657186.0,3.56,1.78,2.14,2.05
2025-02-17,601127,120.86,121.08,122.3,119.42,296353,3573377558.0,2.36,-0.89,-1.09,1.96
2025-02-18,601127,121.09,119.02,121.24,118.11,320946,3834352049.0,2.59,-1.7,-2.06,2.13
2025-02-19,601127,118.39,119.49,120.68,117.01,306836,3643011928.0,3.08,0.39,0.47,2.03
2025-02-20,601127,121.5,122.96,123.9,120.85,383179,4696931141.0,2.55,2.9,3.47,2.54
2025-02-21,601127,122.43,122.62,123.47,120.5,310635,3792217954.0,2.42,-0.28,-0.34,2.06
2025-02-24,601127,121.61,123.71,126.2,121.21,282894,3503386694.0,4.07,0.89,1.09,1.87
2025-02-25,601127,122.6,127.98,129.0,121.8,496356,6261882921.0,5.82,3.45,4.27,3.29
2025-02-26,601127,127.0,126.06,127.97,125.42,314364,3982452810.0,1.99,-1.5,-1.92,2.08
2025-02-27,601127,126.06,126.88,130.3,125.73,306346,3922540752.0,3.63,0.65,0.82,2.03
2025-02-28,601127,125.6,121.51,125.67,121.5,288113,3545654757.0,3.29,-4.23,-5.37,1.91
2025-03-03,601127,122.72,122.5,124.46,121.52,189532,2332610288.0,2.42,0.81,0.99,1.26
2025-03-04,601127,122.51,122.9,123.5,120.66,148044,1808602621.0,2.32,0.33,0.4,0.98
2025-03-05,601127,123.88,126.6,127.99,123.5,316902,3982678764.0,3.65,3.01,3.7,2.1
2025-03-06,601127,127.7,134.87,136.0,127.7,651011,8718570840.0,6.56,6.53,8.27,4.31
2025-03-07,601127,136.21,134.54,137.98,133.2,413632,5607384707.0,3.54,-0.24,-0.33,2.74
2025-03-10,601127,137.72,132.85,137.75,131.28,314784,4183075544.0,4.81,-1.26,-1.69,2.08
2025-03-11,601127,130.48,130.86,131.74,128.86,223809,2909818517.0,2.17,-1.5,-1.99,1.48
